Date,Close
6/5/2014,88.31
6/6/2014,89.35
6/9/2014,89.43
6/10/2014,89.57
6/11/2014,88.86
6/12/2014,88.43
6/13/2014,88.14
6/16/2014,88.06
6/17/2014,89.36
6/18/2014,90.52
6/19/2014,90.01
6/20/2014,91.1
6/23/2014,90.52
6/24/2014,89.47
6/25/2014,89.23
6/26/2014,89.14
6/27/2014,88.99
6/30/2014,88.77
7/1/2014,90.17
7/2/2014,90.09
7/3/2014,91.51
7/7/2014,90.5
7/8/2014,89.38
7/9/2014,89.6
7/10/2014,88.79
7/11/2014,89.72
7/14/2014,90.61
7/15/2014,90.64
7/16/2014,90.85
7/17/2014,89.32
7/18/2014,90.74
7/21/2014,90.33
7/22/2014,90.76
7/23/2014,90.3
7/24/2014,89.82
7/25/2014,88.92
7/28/2014,88.98
7/29/2014,87.54
7/30/2014,89.16
7/31/2014,86.97
8/1/2014,85.85
8/4/2014,86.09
8/5/2014,85.75
8/6/2014,86.57
8/7/2014,86.41
8/8/2014,87.52
8/11/2014,87.19
8/12/2014,87.45
8/13/2014,87.82
8/14/2014,88.46
8/15/2014,87.86
8/18/2014,89.55
8/19/2014,89.26
8/20/2014,89.29
8/21/2014,90.12
8/22/2014,88.65
8/25/2014,89.75
8/26/2014,90.07
8/27/2014,90.47
8/28/2014,89.06
8/29/2014,89.7
9/2/2014,89.78
9/3/2014,89.66
9/4/2014,89.29
9/5/2014,89.24
9/8/2014,89.14
9/9/2014,88.25
9/10/2014,89.37
9/11/2014,89.44
9/12/2014,90.94
9/15/2014,90.36
9/16/2014,90.93
9/17/2014,90.82
9/18/2014,92.95
9/19/2014,93.16
9/22/2014,91.88
9/23/2014,90.95
9/24/2014,91.48
9/25/2014,89.64
9/26/2014,90.05
9/29/2014,89.1
9/30/2014,87.94
10/1/2014,85.69
10/2/2014,86.14
10/3/2014,87.04
10/6/2014,86.76
10/7/2014,84.74
10/8/2014,85.75
10/9/2014,83.38
10/10/2014,82.15
10/13/2014,80.21
10/14/2014,80.25
10/15/2014,77.86
10/16/2014,78.82
10/17/2014,81.06
10/20/2014,81
10/21/2014,83.62
10/22/2014,82.38
10/23/2014,83.25
10/24/2014,84.58
10/27/2014,84.8
10/28/2014,86.79
10/29/2014,86.7
10/30/2014,87.49
10/31/2014,88.54
11/3/2014,87.88
11/4/2014,88.04
11/5/2014,88.91
11/6/2014,85.03
11/7/2014,85.33
11/10/2014,86.54
11/11/2014,86.11
11/12/2014,85.26
11/13/2014,84.53
11/14/2014,83.98
11/17/2014,83.81
11/18/2014,84
11/19/2014,84.15
11/20/2014,84.05
11/21/2014,84.58
11/24/2014,85.91
11/25/2014,85.49
11/26/2014,85.78
11/28/2014,84.98
12/1/2014,83.71
12/2/2014,85.28
12/3/2014,86.65
12/4/2014,86.9
12/5/2014,88.34
12/8/2014,88.26
12/9/2014,88.17
12/10/2014,86.38
12/11/2014,89.79
